sample_number,dimension_value
1,0.109717988630
2,0.088289982725
3,-0.091138600806
4,0.089709307918
5,0.158211159650
6,0.143989157224
7,0.040347616274
8,0.058878384229
9,0.151518431925
10,0.182561574426
11,0.131994443862
12,0.129236217800
13,0.107507452437
14,0.052280181219
15,-0.011312277218
16,0.079554227601
17,0.079916648897
18,0.065029952613
19,-0.021491368361
20,0.131178154899
21,0.076327955357
22,0.135407223985
23,0.070314296246
24,0.217737220837
25,0.033292046388
26,0.117586929002
27,0.188328266971
28,0.060862529184
29,0.138513239278
30,0.103377244553
31,0.066220458822
32,0.130196573672
33,0.169212468773
34,0.126911569211
35,0.252569585115
36,0.148981918997
37,0.026283798703
38,0.053367881853
39,0.105126316118
40,0.126995452736
41,0.054148365922
42,0.119963075025
43,0.100538821674
44,0.062042586984
45,0.031789693370
46,0.056400510421
47,0.125327901132
48,0.039581750526
49,0.063595200348
50,0.123739832628
51,0.152060026080
52,-0.037741433732
53,-0.071579401710
54,0.155904339913
55,0.109805822736
56,0.080908522956
57,0.120929326733
58,0.166912592455
59,0.127978338618
60,0.117059638447
61,0.136218180360
62,0.039482062680
63,0.205248474606
64,0.099930864478
65,0.095612615731
66,0.036721427398
67,0.029964264076
68,0.063635885527
69,0.135314391119
70,0.216637969683
71,0.040876170340
72,0.103220115090
73,0.192613711416
74,0.013253854872
75,0.197418473365
76,0.069876053711
77,0.139065331126
78,-0.038743006179
79,0.095818999128
80,0.077461246388
81,0.123701863362
82,0.057213738413
83,0.165122956300
84,0.119521561180
85,0.061546173178
86,0.126310771060
87,0.109370904115
88,0.133151969973
89,0.146320242452
90,0.115315086032
91,0.098912402640
92,0.085938040297
93,0.044894807673
94,0.146844829421
95,0.186742495700
96,0.169113402992
97,0.066139534965
98,0.114818848319
99,0.052785866669
100,0.133357911276
101,0.114954937433
102,0.126129688133
103,0.131019187735
104,0.160970090646
105,0.112210385600
106,0.092271548589
107,0.073770129686
108,0.156065478095
109,-0.016631219309
110,0.164076914320
111,0.161896625337
112,0.107350094695
113,0.090068314543
114,0.037192221993
115,0.065741167659
116,0.133970725115
117,0.170808168974
118,0.082575716695
119,-0.001716598462
120,0.099834469564
121,0.115574292753
122,0.142793859886
123,0.104262249909
124,0.097782313089
125,0.142382032125
126,0.188116702408
127,0.063240073618
128,0.094334051224
129,0.108339259283
130,0.119713802368
131,0.136217499001
132,0.156988455512
133,0.075702943802
134,0.144880679494
135,0.134164427387
136,0.122625822452
137,0.089999341317
138,0.065331160740
139,0.108149391333
140,0.145120809466
141,0.059562112934
142,0.231787967927
143,0.102162697930
144,0.093383128712
145,0.068530271880
146,0.147675210398
147,0.038371425416
148,0.073645786457
149,0.161613924106
150,0.047073363640
151,0.066143857267
152,0.103193753905
153,0.107952756372
154,0.093154847218
155,0.041939024132
156,0.150716128864
157,0.116105543177
158,0.124872791283
159,0.141863621379
160,0.151298282138
161,0.168747432103
162,0.123582502170
163,0.129603991683
164,0.147824684356
165,0.117678315917
166,0.079103366310
167,0.075053517317
168,0.141173045937
169,0.030209965235
170,0.149645977425
171,0.027990542528
172,0.056578845302
173,0.142386309396
174,0.067510761237
175,0.032493471604
176,0.151832191362
177,0.205575464599
178,0.177137943949
179,0.064938670812
180,0.064998502495
181,0.124226345736
182,0.193030349767
183,0.097722385018
184,0.050210372572
185,0.166535159931
186,0.103448015152
187,0.141391765956
188,0.154472446178
189,0.076208417687
190,0.142035883983
191,0.035249069460
192,0.027631206087
193,0.076761390928
194,0.042368667485
195,0.145975641100
196,0.099958805852
