sample_number,dimension_value
1,0.153656175583
2,0.109575122252
3,0.110037130519
4,0.050213805822
5,0.076106460448
6,0.130120657119
7,0.111699212041
8,0.063483870003
9,0.199348816172
10,-0.028558550514
11,0.069987754042
12,0.225436052022
13,0.150309447367
14,0.140681368545
15,0.146778290055
16,0.103172682926
17,0.093271369141
18,0.148405794085
19,0.140116060362
20,0.210339994483
21,0.200898814399
22,0.109037219365
23,0.149099317353
24,0.067351168045
25,-0.028414390085
26,0.091677133814
27,0.017631957308
28,0.060824558736
29,0.122507467455
30,0.086090423641
31,0.119046948220
32,0.116007025739
33,0.150485802658
34,0.058728182405
35,0.149680499499
36,0.104621322009
37,0.201917787335
38,0.104533588093
39,0.005822956488
40,0.127598661485
41,0.079645150875
42,0.178082480680
43,0.107129851813
44,0.055718156794
45,0.103117621914
46,0.121359614482
47,0.110886495124
48,0.189325640066
49,0.067820117268
50,0.158001188489
51,0.132317796490
52,0.053749530295
53,0.119595495545
54,0.131784739373
55,0.073721050207
56,0.130556872683
57,0.106679572638
58,0.032945035662
59,0.120298448897
60,0.068915231296
61,-0.015263491671
62,0.136390387758
63,0.032316345966
64,0.153131024288
65,0.093620095092
66,0.130919632710
67,0.048690005313
68,0.038708986668
69,0.164807699516
70,0.131551446618
71,0.150363532058
72,0.023273311445
73,0.074319336596
74,0.077755858681
75,-0.051465702841
76,0.069498506722
77,0.091150990020
78,0.134217422627
79,0.062239822372
80,0.171748713573
81,0.053823039241
82,0.084778990910
83,0.098371179592
84,0.242086439945
85,0.057938361593
86,0.089321759229
87,0.114357374445
88,0.059760948471
89,0.066942580055
90,0.054022264179
91,0.040229533976
92,0.037301150135
93,0.159627827602
94,0.133058797925
95,0.108837089785
96,0.125776464718
97,-0.027752725640
98,-0.026412632000
99,0.032009244347
100,0.076235216252
101,0.096484998876
102,0.146997601320
103,0.069752809576
104,0.047224131565
105,0.075767866018
106,0.049553203186
107,0.165319700921
108,0.153791749052
109,0.083325809113
110,0.037157817068
111,0.063833198686
112,0.184121748153
113,0.174766016174
114,0.052507027954
115,0.121882855561
116,0.155429987924
117,0.115112215835
118,0.152703820670
119,0.064333861347
120,0.078308541205
121,-0.007811294151
122,0.154059863657
123,0.132088105741
124,0.103538591836
125,0.052656104307
126,0.074419910895
127,0.074627786592
128,0.053528831938
129,0.141541785997
130,0.084957064338
131,0.151911245049
132,0.093781752144
133,0.061191007124
134,0.037675519368
135,0.056189018224
136,0.147494907954
137,0.115871792720
138,0.041085534939
139,-0.041383053035
140,0.193146498996
141,0.173057957788
142,0.138262068509
143,0.077574352152
144,0.044260723618
145,0.086880488735
146,0.102159237692
147,0.078191138295
148,0.041056344103
149,0.050302889339
150,0.149184443767
151,0.152020931305
152,0.108498735864
153,0.125970460890
154,0.112700277525
155,0.152903201300
156,0.062415157250
157,0.064254325427
158,-0.021832735508
159,0.097580101411
160,0.165584685205
161,0.055957546702
162,0.152762567218
163,0.091326934648
164,0.149253528114
165,0.182292097829
166,0.133697406011
167,0.109552886392
168,0.117524930490
169,0.103731613723
170,0.029414905337
171,0.087765570681
172,0.177514355519
173,0.104914767565
174,0.185186610640
175,0.153409546121
176,0.194838586671
177,0.101600668394
178,0.198847450207
179,0.085187645768
180,0.103420814298
181,0.061053548002
182,0.094809838395
183,0.101753314968
184,0.142741473782
185,0.162559437870
186,0.064183519695
187,0.104713323988
188,0.106663522568
189,0.021712668705
190,0.143775802806
191,0.047958590618
192,0.076438979187
193,0.166838369239
194,0.034451680568
195,0.110229808749
196,0.086813992140
197,0.006367702235
198,-0.084037340655
199,0.142406075798
200,0.057208140595
201,0.053717933830
202,0.120602983022
203,0.072674888705
204,0.100886092866
205,0.113356027118
206,0.056814052138
207,0.014367950452
